Address,Latitude,Longitude,Type
addisu gebeya,9.0589511,38.736527,"establishment,point_of_interest,shopping_mall"
ABC ,9.0065311,38.7690541,premise
zefmesh mall,9.020547,38.800301,"establishment,point_of_interest,shopping_mall"
wello sefer dashin bank,8.9963648,38.7593193,"bank,establishment,finance,point_of_interest"
torhayloch  ,9.0095722,38.7206376,"bus_station,establishment,point_of_interest,transit_station"
top view,9.0225395,38.8033944,"establishment,food,point_of_interest,restaurant"
tk,8.9881536,38.7912816,"establishment,point_of_interest"
sheraton addis,9.015466,38.769788,"establishment,lodging,point_of_interest"
semmit ,9.0027996,38.8528952,"establishment,place_of_worship,point_of_interest"
selam city mall,8.99332,38.7913114,"establishment,point_of_interest,shopping_mall"
school of tomorrow,9.010325,38.7907138,"establishment,point_of_interest"
sanford school,9.0364311,38.7724812,"establishment,point_of_interest,school"
salitemihret,9.0115694,38.8215212,route
ropuck,8.9957025,38.7869335,"establishment,food,point_of_interest,restaurant"
repulic,9.031519,38.7324324,route
radiosn blue,9.016298,38.767855,"establishment,lodging,point_of_interest"
pepsi kera,9.0023505,38.7694194,"establishment,point_of_interest"
oromia tower,8.9866362,38.7687809,premise
oromia building,9.0673797,38.664113,"establishment,local_government_office,point_of_interest"
olompia greek club,9.0084889,38.7685824,"establishment,food,point_of_interest,restaurant"
nordoc hospital,8.9843355,38.7781414,"establishment,hospital,point_of_interest"
natani caf_ millinium hall,8.9902942,38.7895542,"city_hall,establishment,local_government_office,point_of_interest"
MKs restaurant,8.9995109,38.7851796,"establishment,food,point_of_interest,restaurant"
MKs ,8.9995109,38.7851796,"establishment,food,point_of_interest,restaurant"
millinium hall bole,8.9902942,38.7895542,"city_hall,establishment,local_government_office,point_of_interest"
megenagna ,9.0204692,38.8024029,"bus_station,establishment,point_of_interest,transit_station"
ledeta desa hotel,9.0123834,38.7410322,"establishment,lodging,point_of_interest"
lafto kebrol guest house,8.9469247,38.7416866,"establishment,lodging,point_of_interest"
kotebe collage,9.0386134,38.8373807,"establishment,point_of_interest,university"
kokob bulding 24,9.0184777,38.6985784,premise
kazanchis bebreal,9.0105015,38.7711332,"establishment,point_of_interest"
kasanchis,9.0165737,38.7760791,"neighborhood,political"
jemo  ,8.9581465,38.7119416,"neighborhood,political"
IOM,8.9929521,38.7891201,"establishment,point_of_interest"
intercontinental hotel,9.015466,38.769788,"establishment,lodging,point_of_interest"
int airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
hilzer,9.0192206,38.7156475,"embassy,establishment,point_of_interest"
helzer tower,8.9991426,38.7857509,"establishment,lodging,point_of_interest"
helizer tower,8.9991426,38.7857509,"establishment,lodging,point_of_interest"
hayat,8.9944346,38.7952916,"establishment,hospital,point_of_interest"
goro gerj,8.9975378,38.8296965,"locality,political"
